Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,IATA,Latitude,Longitude
CHS,CHS,20,69,6,0.371645,0.41716,3.262604,0.063116,0.063116,0,CHS,32.89860153,-80.04049683
BNA,BNA,46,162,6,0.409401,0.473025,1026.791668,0.117025,0.117025,0,BNA,36.1245002746582,-86.6781997680664
DAY,DAY,16,64,6,0.381895,0.425957,0.407065,0.054636,0.054636,0,DAY,39.90240097045898,-84.21939849853516
SEA,SEA,75,310,4,0.48474,0.536574,18159.614873,0.123904,0.123904,2,SEA,47.449001,-122.308998
SLC,SLC,85,256,5,0.472855,0.534938,8437.042981,0.129666,0.129666,2,SLC,40.78839874267578,-111.97799682617188
SDF,SDF,23,83,6,0.38961,0.438302,2.671848,0.075501,0.075501,0,SDF,38.1744,-85.736
SAV,SAV,13,46,6,0.36635,0.406821,0.279782,0.044649,0.044649,0,SAV,32.12760162,-81.20210266
BHM,BHM,19,69,6,0.383523,0.429043,9.488198,0.061195,0.061195,0,BHM,33.56290054,-86.75350189
HOU,HOU,49,149,6,0.393586,0.458519,420.029943,0.099363,0.099363,0,HOU,29.64539909,-95.27890015
TYS,TYS,17,62,6,0.385439,0.430123,135.198219,0.050401,0.050401,0,TYS,35.81100082,-83.99400329999999
RNO,RNO,14,56,5,0.384068,0.421914,3.439481,0.040996,0.040996,2,RNO,39.49909973144531,-119.76799774169922
KOA,KOA,10,39,5,0.356436,0.386728,88.622141,0.020393,0.020393,2,KOA,19.738783,-156.045603
TUS,TUS,16,62,5,0.394737,0.434722,1.388031,0.050392,0.050392,2,TUS,32.116100311279304,-110.94100189208984
GSO,GSO,14,51,6,0.381087,0.423333,71.547604,0.04279,0.04279,0,GSO,36.097801208496094,-79.93730163574219
CLE,CLE,53,151,6,0.411272,0.479198,2954.879751,0.117719,0.117719,0,CLE,41.4117012024,-81.8498001099
XNA,XNA,14,48,6,0.385714,0.428426,64.688268,0.04649,0.04649,0,XNA,36.281898,-94.306801
ABQ,ABQ,23,83,5,0.398524,0.443056,1088.82802,0.061594,0.061594,2,ABQ,35.040199,-106.609001
SRQ,SRQ,6,26,6,0.349741,0.381049,0.025641,0.020772,0.020772,0,SRQ,27.39539909362793,-82.55439758300781
PNS,PNS,11,42,6,0.360481,0.39787,0.509226,0.035982,0.035982,0,PNS,30.473400115967003,-87.18659973144501
JAN,JAN,9,36,6,0.358566,0.39463,1.644953,0.030878,0.030878,0,JAN,32.3111991882,-90.0758972168
CAK,CAK,11,44,6,0.372928,0.412377,0.016949,0.038064,0.038064,0,CAK,40.91609954833984,-81.44219970703125
MDW,MDW,67,255,5,0.422866,0.493673,1387.956234,0.131894,0.131894,0,MDW,41.785999,-87.752403
CHA,CHA,8,32,6,0.362416,0.398333,35.472385,0.023972,0.023972,0,CHA,35.03530120849609,-85.20379638671875
HSV,HSV,9,36,6,0.375783,0.414691,0.151793,0.033528,0.033528,0,HSV,34.637199401855,-86.775100708008
LIH,LIH,10,40,5,0.356907,0.387346,0.457066,0.022822,0.022822,2,LIH,21.97599983215332,-159.33900451660156
PSP,PSP,14,45,5,0.38599,0.424228,16.020451,0.041363,0.041363,2,PSP,33.829700469970696,-116.50700378417967
PDX,PDX,54,212,5,0.458015,0.504383,3469.685291,0.099941,0.099941,2,PDX,45.58869934,-122.5979996
ALB,ALB,19,60,6,0.37474,0.41963,1077.842225,0.056405,0.056405,0,ALB,42.74829864501953,-73.80169677734375
ELP,ELP,13,47,6,0.378151,0.41963,5.368141,0.040081,0.040081,2,ELP,31.80719948,-106.37799840000002
GSP,GSP,20,58,6,0.371645,0.41716,127.540892,0.055825,0.055825,0,GSP,34.895698547399995,-82.2189025879
TUL,TUL,18,55,6,0.389892,0.435525,98.03876,0.054725,0.054725,6,TUL,36.19839859008789,-95.88809967041016
SNA,SNA,18,74,5,0.393586,0.434722,45.627238,0.050703,0.050703,2,SNA,33.67570114,-117.8679962
EYW,EYW,8,33,6,0.32316,0.362222,0.290687,0.022205,0.022205,0,EYW,24.55610084533692,-81.75959777832031
ROC,ROC,17,58,6,0.368852,0.411451,0.977892,0.055398,0.055398,0,ROC,43.118900299072266,-77.67240142822266
FAT,FAT,10,34,5,0.372414,0.406173,0.0,0.030653,0.030653,2,FAT,36.77619934082031,-119.71800231933594
MYR,MYR,21,64,6,0.368098,0.413302,669.704498,0.043741,0.043741,0,MYR,33.6796989441,-78.9282989502
OMA,OMA,20,69,5,0.400891,0.443673,5.675437,0.06653,0.06653,0,OMA,41.3032,-95.894096
BUF,BUF,20,71,6,0.377358,0.423179,1.180694,0.064894,0.064894,0,BUF,42.94049835,-78.73220062
AVL,AVL,8,24,6,0.356671,0.390926,41.565775,0.019713,0.019713,0,AVL,35.43619918823242,-82.54180145263672
ABY,ABY,1,8,6,0.319149,0.351883,0.0,0.004225,0.004225,0,ABY,31.535499572753903,-84.19450378417969
CAE,CAE,10,34,6,0.362173,0.399877,0.151793,0.035609,0.035609,0,CAE,33.93880081176758,-81.11949920654297
LIT,LIT,17,58,6,0.384615,0.429043,72.499224,0.051957,0.051957,0,LIT,34.729400634799994,-92.2242965698
ILM,ILM,5,26,6,0.323353,0.361142,0.0,0.017206,0.017206,0,ILM,34.27059936523437,-77.90260314941406
ICT,ICT,12,40,6,0.38055,0.42179,42.698859,0.037626,0.037626,6,ICT,37.649899,-97.433098
GPT,GPT,4,18,6,0.329469,0.369784,0.0,0.01531,0.01531,6,GPT,30.40730094909668,-89.07009887695312
GNV,GNV,5,24,6,0.323353,0.360679,0.016949,0.016488,0.016488,0,GNV,29.6900997162,-82.27179718020001
MRY,MRY,6,20,6,0.348837,0.378889,0.0,0.019125,0.019125,2,MRY,36.58700180053711,-121.84300231933594
DAL,DAL,24,75,5,0.375522,0.41821,324.269673,0.039328,0.039328,6,DAL,32.847099,-96.851799
GEG,GEG,10,30,5,0.365112,0.397377,0.0,0.027352,0.027352,2,GEG,47.61989974975586,-117.53399658203124
EVV,EVV,4,18,6,0.355263,0.387222,0.0,0.01605,0.01605,0,EVV,38.0369987488,-87.53240203860001
FWA,FWA,10,32,6,0.369357,0.407284,93.647868,0.022244,0.022244,6,FWA,40.97850037,-85.19509888
LEX,LEX,13,40,6,0.371134,0.411451,85.034455,0.036735,0.036735,6,LEX,38.0364990234375,-84.60590362548828
CRW,CRW,9,21,6,0.362416,0.399568,1.442179,0.030552,0.030552,0,CRW,38.37310028076172,-81.59320068359375
SYR,SYR,15,50,6,0.368852,0.410062,36.180424,0.046987,0.046987,0,SYR,43.11119842529297,-76.1063003540039
ROA,ROA,9,30,6,0.358328,0.393704,34.204933,0.025864,0.025864,0,ROA,37.3255,-79.975403
OAK,OAK,33,107,5,0.395315,0.445525,292.508336,0.061674,0.061674,2,OAK,37.721298,-122.221001
CID,CID,11,35,6,0.38055,0.42071,141.774174,0.028879,0.028879,6,CID,41.88470077514648,-91.71080017089844
ONT,ONT,13,43,5,0.373444,0.409105,1.496975,0.035479,0.035479,2,ONT,34.05599975585937,-117.60099792480467
VPS,VPS,5,21,6,0.330073,0.371327,0.0,0.018601,0.018601,0,VPS,30.4832,-86.525398
