Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class
HVR,HVR,1,2,6,0.267194,0.279846,0,0.000416,0.000416,2
GGW,GGW,1,2,6,0.267194,0.279846,0,0.000416,0.000416,2
GDV,GDV,1,2,6,0.267194,0.279846,0,0.000416,0.000416,2
BHB,BHB,1,2,6,0.30286,0.325031,0,0.002977,0.002977,0
AUG,AUG,1,2,6,0.30286,0.325031,0,0.002977,0.002977,0
OGS,OGS,1,2,7,0.272727,0.289277,0,0.001214,0.001214,0
MSS,MSS,1,2,7,0.272727,0.289277,0,0.001214,0.001214,0
NUI,NUI,2,4,6,0.238938,0.247593,0,0.000033,0.000033,3
TOG,TOG,1,2,7,0.194175,0.200648,0,0,0,3
MOU,MOU,1,2,6,0.23622,0.242315,0,0.000014,0.000014,3
WBQ,WBQ,1,2,5,0.263286,0.272222,0,0.000073,0.000073,3
CIK,CIK,2,4,5,0.263801,0.27392,0,0.000075,0.000075,3
NIB,NIB,1,2,6,0.236842,0.243395,0,0.000015,0.000015,3
MCN,MCN,2,4,6,0.320475,0.35466,0,0.007373,0.007373,0
GLH,GLH,1,2,7,0.242261,0.257033,0,0.000091,0.000091,10
TUP,TUP,2,4,6,0.319527,0.353117,539,0.004227,0.004227,10
PIB,PIB,1,2,6,0.319149,0.351883,0,0.004225,0.004225,0
MSL,MSL,1,2,6,0.319149,0.351883,0,0.004225,0.004225,0
MEI,MEI,1,2,6,0.319149,0.351883,0,0.004225,0.004225,0
JBR,JBR,1,2,6,0.299667,0.319938,0,0.002679,0.002679,0
DEC,DEC,2,4,6,0.339836,0.365,0,0.006829,0.006829,0
BRL,BRL,2,4,6,0.339836,0.365,0,0.006829,0.006829,0
MLL,MLL,2,3,6,0.241287,0.253457,0,0.000015,0.000015,3
NME,NME,2,4,6,0.240642,0.252438,0,0.000015,0.000015,3
BRW,BRW,7,13,5,0.313407,0.331389,1879.5,0.00076,0.00076,3
PIZ,PIZ,1,2,6,0.238727,0.246358,0,0.000016,0.000016,3
HPB,HPB,3,4,6,0.240749,0.253364,0,0.000015,0.000015,3
VAK,VAK,3,4,6,0.240749,0.253364,0,0.000015,0.000015,3
HSL,HSL,5,6,6,0.209627,0.219599,4.766667,0.000007,0.000007,3
BTI,BTI,2,4,6,0.239256,0.247994,2.5,0.000018,0.000018,3
OOK,OOK,3,4,6,0.240749,0.253364,0.5,0.000015,0.000015,3
AUK,AUK,1,2,7,0.194384,0.201049,0,0,0,3
ATK,ATK,2,4,6,0.238832,0.247284,0,0.000017,0.000017,3
AIN,AIN,2,4,6,0.238832,0.247284,0,0.000017,0.000017,3
LWS,LWS,4,8,5,0.334158,0.353241,7.799714,0.006369,0.006369,2
PUW,PUW,2,4,5,0.326877,0.341821,0,0.002805,0.002805,2
WRG,WRG,2,4,6,0.248733,0.257963,2,0.000061,0.000061,11
YAK,YAK,2,4,6,0.260744,0.269537,6.233333,0.000088,0.000088,11
PSG,PSG,2,4,6,0.260744,0.269537,35.433333,0.000075,0.000075,11
